,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3360,22SFull,MIS 6349.001,Digital Consulting Project,Gaurav Shekhar ,Tuesday,16:00:00,18:45:00,JSOM 1.117
3367,22SFull,MIS 6360.001,Agile Project Management,Mark Thouin ,Tuesday,13:00:00,14:15:00,JSOM 1.110
3368,22SFull,MIS 6360.001,Agile Project Management,Mark Thouin ,Thursday,13:00:00,14:15:00,JSOM 1.110
3369,22SFull,MIS 6363.001,Cloud Computing Fundamentals,Liugen Song ,Thursday,16:00:00,18:45:00,JSOM 1.217
3370,22SFull,MIS 6363.002,Cloud Computing Fundamentals,Masudal Khan ,Wednesday,16:00:00,18:45:00,JSOM 1.107
3371,22SFull,MIS 6369.501,Supply Chain Software with Sap,Ramesh Subramoniam ,Monday,19:00:00,21:45:00,JSOM 1.212
3372,22SFull,MIS 6373.501,Social Media Business,Rostislav Ginevich ,Thursday,19:00:00,21:45:00,SOM 1.102
3374,22SOpen,MIS 6380.001,Data Visualization,Judd Bradbury ,Tuesday,11:30:00,12:45:00,JSOM 12.210
3375,22SOpen,MIS 6380.001,Data Visualization,Judd Bradbury ,Thursday,11:30:00,12:45:00,JSOM 12.210
3376,22SFull,MIS 6380.002,Data Visualization,Naser Islam ,Tuesday,13:00:00,14:15:00,JSOM 2.722
3377,22SFull,MIS 6380.002,Data Visualization,Naser Islam ,Thursday,13:00:00,14:15:00,JSOM 2.722
3378,22SOpen,MIS 6380.003,Data Visualization,Judd Bradbury ,Wednesday,10:00:00,12:45:00,JSOM 12.206
3379,22SOpen,MIS 6380.004,Data Visualization,Naser Islam ,Thursday,16:00:00,18:45:00,JSOM 2.722
3381,22SFull,MIS 6382.001,Object Oriented Programming in Python,Hongchang Wang ,Wednesday,10:00:00,12:45:00,JSOM 12.218
